state,county,zip,district
New Jersey,Ocean,08701,
New Jersey,Ocean,08701,NJ-CD4
Texas,Fort Bend,77494,
Texas,Fort Bend,77494,TX-CD22
Texas,Harris,77449,
Texas,Harris,77449,TX-CD8
Texas,Harris,77449,TX-CD22
New York,Queens,11368,NY-CD14
New York,Queens,11368,NY-CD6
New York,Queens,11368,
Texas,Travis,78660,
California,Los Angeles,90011,
California,Los Angeles,90011,CA-CD37
New York,Queens,11385,NY-CD5
New York,Queens,11385,
New York,Queens,11385,NY-CD7
New York,Queens,11385,NY-CD6
Texas,Harris,77084,TX-CD8
Texas,Harris,77084,
Texas,Harris,77084,TX-CD38
New York,Kings,11208,
New York,Kings,11208,NY-CD8
New York,Kings,11208,NY-CD7
Texas,El Paso,79936,TX-CD23
Texas,El Paso,79936,TX-CD16
Texas,El Paso,79936,
Illinois,Cook,60629,IL-CD6
Illinois,Cook,60629,IL-CD1
Illinois,Cook,60629,IL-CD4
Illinois,Cook,60629,IL-CD7
Illinois,Cook,60629,
California,Los Angeles,90650,CA-CD38
California,Los Angeles,90650,
Texas,Harris,77433,TX-CD8
Texas,Harris,77433,
California,Los Angeles,91331,
California,Los Angeles,91331,CA-CD29
New York,Kings,11236,NY-CD9
New York,Kings,11236,NY-CD8
New York,Kings,11236,
New York,Bronx,10467,NY-CD13
New York,Bronx,10467,
Tennessee,Davidson,37013,TN-CD6
Tennessee,Davidson,37013,TN-CD5
Tennessee,Davidson,37013,
New York,Queens,11373,NY-CD6
New York,Queens,11373,NY-CD14
New York,Queens,11373,
California,Contra Costa,94565,CA-CD10
California,Contra Costa,94565,CA-CD8
California,Contra Costa,94565,
California,Los Angeles,90044,CA-CD37
California,Los Angeles,90044,CA-CD43
California,Los Angeles,90044,
New York,Kings,11226,NY-CD9
New York,Kings,11226,
Georgia,Gwinnett,30044,GA-CD9
Georgia,Gwinnett,30044,GA-CD7
Georgia,Gwinnett,30044,
California,San Bernardino,92336,
California,San Bernardino,92336,CA-CD35
California,San Bernardino,92336,CA-CD33
New York,Kings,11207,NY-CD7
New York,Kings,11207,NY-CD8
New York,Kings,11207,
California,San Bernardino,92335,
California,San Bernardino,92335,CA-CD33
California,San Bernardino,92335,CA-CD35
New York,New York,10025,
New York,New York,10025,NY-CD13
California,Los Angeles,90805,CA-CD43
California,Los Angeles,90805,CA-CD44
California,Los Angeles,90805,
California,Los Angeles,90250,
California,Los Angeles,90250,CA-CD43
California,Los Angeles,90201,
California,Los Angeles,90201,CA-CD38
Texas,Dallas,75052,
Texas,Dallas,75052,TX-CD6
Texas,Dallas,75052,TX-CD30
Texas,Dallas,75052,TX-CD33
New York,Kings,11214,
New York,Kings,11214,NY-CD8
New York,Kings,11214,NY-CD11
Texas,Galveston,77573,
Illinois,Cook,60618,
Illinois,Cook,60618,IL-CD3
Illinois,Cook,60618,IL-CD5
New York,Kings,11234,NY-CD8
New York,Kings,11234,NY-CD9
New York,Kings,11234,
New York,Richmond,10314,NY-CD11
New York,Richmond,10314,
New York,Richmond,10311,
New York,Kings,11220,NY-CD11
New York,Kings,11220,
California,Los Angeles,90280,CA-CD44
California,Los Angeles,90280,
New York,Kings,11219,NY-CD11
New York,Kings,11219,NY-CD9
New York,Kings,11219,
California,Los Angeles,91342,CA-CD29
California,Los Angeles,91342,
California,Los Angeles,91342,CA-CD30
California,Los Angeles,91342,CA-CD27
New York,Kings,11230,NY-CD9
New York,Kings,11230,
Texas,El Paso,79938,TX-CD16
Texas,El Paso,79938,
California,Orange,92683,CA-CD45
California,Orange,92683,
Texas,Bexar,78245,TX-CD23
Texas,Bexar,78245,
Texas,Bexar,78245,TX-CD20
New York,Kings,11206,NY-CD8
New York,Kings,11206,
New York,Kings,11206,NY-CD7
New York,Bronx,10456,
California,Riverside,92503,CA-CD41
California,Riverside,92503,
Texas,Fort Bend,77479,TX-CD7
Texas,Fort Bend,77479,
Texas,Fort Bend,77479,TX-CD22
New York,Kings,11221,NY-CD8
New York,Kings,11221,NY-CD7
New York,Kings,11221,
Texas,Brazoria,77584,
Illinois,Cook,60639,
Illinois,Cook,60639,IL-CD7
Illinois,Cook,60639,IL-CD3
Texas,Cameron,78521,TX-CD34
Texas,Cameron,78521,
California,San Diego,91911,CA-CD52
California,San Diego,91911,
Georgia,Gwinnett,30043,
Georgia,Gwinnett,30043,GA-CD9
Texas,Harris,77429,
Texas,Harris,77429,TX-CD38
Texas,Harris,77429,TX-CD8
California,Fresno,93722,
California,Fresno,93722,CA-CD5
California,Fresno,93722,CA-CD21
California,San Bernardino,92345,CA-CD23
California,San Bernardino,92345,
Texas,Dallas,75217,TX-CD32
Texas,Dallas,75217,TX-CD30
Texas,Dallas,75217,
Illinois,Cook,60632,IL-CD4
Illinois,Cook,60632,
Illinois,Cook,60632,IL-CD7
California,Kern,93307,
California,San Bernardino,92376,
California,San Bernardino,92376,CA-CD33
New York,Bronx,10458,NY-CD13
New York,Bronx,10458,
California,Orange,92804,CA-CD45
California,Orange,92804,
California,Orange,92804,CA-CD46
Texas,Williamson,78613,TX-CD31
Texas,Williamson,78613,TX-CD10
Texas,Williamson,78613,TX-CD37
Texas,Williamson,78613,
California,Santa Cruz,95076,CA-CD18
California,Santa Cruz,95076,
California,Santa Cruz,95076,CA-CD19
New York,Kings,11233,NY-CD7
New York,Kings,11233,NY-CD9
New York,Kings,11233,NY-CD8
New York,Kings,11233,
Illinois,Cook,60647,IL-CD5
Illinois,Cook,60647,IL-CD3
Illinois,Cook,60647,IL-CD7
Illinois,Cook,60647,
New York,Kings,11229,
New York,Kings,11229,NY-CD9
New York,Kings,11229,NY-CD8
New York,Queens,11377,
New York,Queens,11377,NY-CD6
